user_id,event_date,event_name
U00001,2025-08-17,signup
U00001,2025-08-17,onboarding_complete
U00001,2025-08-23,subscribe
U00002,2025-12-21,signup
U00002,2025-12-22,onboarding_complete
U00002,2026-01-03,subscribe
U00003,2025-11-29,signup
U00003,2025-11-29,onboarding_complete
U00004,2025-10-20,signup
U00004,2025-10-21,onboarding_complete
U00004,2025-11-12,subscribe
U00005,2025-10-19,signup
U00005,2025-11-12,subscribe
U00006,2026-01-05,signup
U00006,2026-01-06,onboarding_complete
U00007,2025-08-16,signup
U00007,2025-08-16,onboarding_complete
U00008,2025-12-07,signup
U00008,2025-12-07,onboarding_complete
U00009,2025-09-07,signup
U00009,2025-09-07,onboarding_complete
U00009,2025-09-08,trial_start
U00009,2025-09-19,trial_end_no_sub
U00010,2025-08-18,signup
U00010,2025-08-18,onboarding_complete
U00011,2025-11-05,signup
U00011,2025-11-05,onboarding_complete
U00012,2026-01-27,signup
U00013,2025-12-14,signup
U00013,2025-12-14,onboarding_complete
U00014,2025-12-19,signup
U00015,2025-12-11,signup
U00015,2025-12-12,onboarding_complete
U00016,2025-12-23,signup
U00016,2025-12-23,onboarding_complete
U00016,2026-01-12,subscribe
U00017,2025-11-03,signup
U00018,2025-08-24,signup
U00018,2025-08-24,onboarding_complete
U00019,2026-01-02,signup
U00019,2026-01-02,onboarding_complete
U00020,2025-10-22,signup
U00020,2025-11-01,subscribe
U00021,2025-11-01,signup
U00021,2025-11-01,onboarding_complete
U00022,2025-10-08,signup
U00022,2025-10-08,onboarding_complete
U00022,2025-10-31,subscribe
U00023,2025-09-03,signup
U00023,2025-09-10,subscribe
U00024,2026-01-18,signup
U00024,2026-01-18,onboarding_complete
U00024,2026-01-31,subscribe
U00025,2025-12-22,signup
U00025,2025-12-22,onboarding_complete
U00026,2025-11-27,signup
U00027,2025-10-14,signup
U00027,2025-10-15,onboarding_complete
U00028,2025-12-30,signup
U00028,2025-12-30,onboarding_complete
U00029,2025-11-09,signup
U00029,2025-11-09,onboarding_complete
U00029,2025-11-10,trial_start
U00029,2025-11-21,subscribe
U00030,2025-10-21,signup
U00030,2025-10-22,onboarding_complete
U00030,2025-10-25,trial_start
U00030,2025-11-07,subscribe
U00031,2025-10-22,signup
U00031,2025-10-22,onboarding_complete
U00031,2025-10-24,trial_start
U00031,2025-10-31,trial_end_no_sub
