user_id,event_name,event_date,device,acquisition_channel
U00001,signup,2025-11-12,Web,Referral
U00002,signup,2025-10-23,iOS,Paid Search
U00002,email_verified,2025-10-24,iOS,Paid Search
U00003,signup,2025-10-22,iOS,Paid Social
U00003,email_verified,2025-10-23,iOS,Paid Social
U00004,signup,2025-11-29,Android,Organic
U00004,email_verified,2025-11-30,Android,Organic
U00004,profile_completed,2025-12-01,Android,Organic
U00004,trial_started,2025-12-02,Android,Organic
U00005,signup,2025-11-11,Web,Paid Search
U00005,email_verified,2025-11-12,Web,Paid Search
U00006,signup,2025-11-20,Web,Organic
U00006,email_verified,2025-11-21,Web,Organic
U00007,signup,2025-10-07,Web,Paid Social
U00007,email_verified,2025-10-08,Web,Paid Social
U00007,profile_completed,2025-10-09,Web,Paid Social
U00008,signup,2025-10-09,Android,Paid Social
U00008,email_verified,2025-10-10,Android,Paid Social
U00008,profile_completed,2025-10-11,Android,Paid Social
U00008,trial_started,2025-10-12,Android,Paid Social
U00009,signup,2025-11-04,iOS,Paid Social
U00010,signup,2025-10-02,Web,Paid Search
U00010,email_verified,2025-10-03,Web,Paid Search
U00010,profile_completed,2025-10-04,Web,Paid Search
U00010,trial_started,2025-10-05,Web,Paid Search
U00010,subscription_started,2025-10-09,Web,Paid Search
U00011,signup,2025-10-10,Android,Paid Search
U00012,signup,2025-10-08,iOS,Referral
U00012,email_verified,2025-10-09,iOS,Referral
U00012,profile_completed,2025-10-10,iOS,Referral
U00013,signup,2025-11-16,Android,Paid Social
U00014,signup,2025-11-29,Web,Organic
U00014,email_verified,2025-11-30,Web,Organic
U00014,profile_completed,2025-12-01,Web,Organic
U00014,trial_started,2025-12-02,Web,Organic
U00014,subscription_started,2025-12-06,Web,Organic
U00015,signup,2025-10-08,Web,Organic
U00015,email_verified,2025-10-09,Web,Organic
U00016,signup,2025-11-02,iOS,Paid Social
U00016,email_verified,2025-11-03,iOS,Paid Social
U00017,signup,2025-10-09,iOS,Referral
U00017,email_verified,2025-10-10,iOS,Referral
U00017,profile_completed,2025-10-11,iOS,Referral
U00017,trial_started,2025-10-12,iOS,Referral
U00017,subscription_started,2025-10-16,iOS,Referral
U00018,signup,2025-11-09,Web,Paid Social
U00018,email_verified,2025-11-10,Web,Paid Social
U00018,profile_completed,2025-11-11,Web,Paid Social
U00018,trial_started,2025-11-12,Web,Paid Social
U00019,signup,2025-11-24,Android,Paid Social
U00020,signup,2025-10-15,Web,Paid Search
U00020,email_verified,2025-10-16,Web,Paid Search
U00020,profile_completed,2025-10-17,Web,Paid Search
U00020,trial_started,2025-10-18,Web,Paid Search
U00021,signup,2025-10-04,Web,Paid Search
U00022,signup,2025-11-12,Web,Paid Search
U00022,email_verified,2025-11-13,Web,Paid Search
U00023,signup,2025-10-28,iOS,Paid Search
U00024,signup,2025-10-06,Android,Paid Search
